function,db,func_child_cnt,func_child,table_child_cnt,table_child
CES2_XDR_Threat_Investigation_bak,VisionOne,4,"['XDR_visit_DIR_Apps', 'XDR_investigate_DIR_Apps', 'XDR_adv_features_DIR_Apps', 'XDR_touched_DIR_Apps']",1,['xdr_pendo_raw_events']
V1_Mobile_Console_Data,VisionOne,4,"['slog_ubtaudit', 'Cohort_Events_Analysis_UCLPS', 'Mobile_App_Report_Data', 'GET_PENDO_SURVEY']",0,[]
CE_get_TPI_enabled,VisionOne,4,"['CE_get_TPI_enabled_visibility', 'CE_get_TPI_enabled_IT_management', 'CE_get_TPI_enabled_investigation', 'CE_get_TPI_enabled_network_blocking']",0,[]
Func_C1_Account_Usage,CloudOne,4,"['vw_C1_Deployed_Instance', 'vw_C1_Deployed_Instance_by_Dimension', 'vw_C1_Deployed_Instance_by_FreeTier', 'vw_C1_Account_Usage_by_Level']",4,"['c1_pendo_page_events', 'C1_Account_Mapping', 'c1_pendo_pages', 'C1WS_From_DS_Daily']"
onelink_get_install_table_with_app_information,Consumer,4,"['onelink_get_web_click_table', 'onelink_get_app_launch_table', 'onelink_get_app_launch_table_from_app_information', 'Product_Name']",0,[]
NEW_ZTSA_Customer_Detail,VisionOne,4,"['CLP_WHO_VISIT_V1', 'CLP_WHO_VISIT_ZTSA', 'CLP_WHO_DEPLOY_ZTSA', 'CLP_WHO_USE_ZTSA']",0,[]
JapanXTrialUser,Consumer,4,"['R2209User', 'R2208User', 'R2211User', 'R2301User']",1,['JapanXTrialConversion']
Reports_Inuse_CLP,VisionOne,4,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_download', 'Reports_scheduled_successful', 'Reports_Schedule_Running']",0,[]
NI_NS_deployed_Cus_base,VisionOne,4,"['slog_ubtaudit', 'slog_system', 'NI_customer_base', 'NI_onboard_customers']",0,[]
NI_flywheel_eligible_Cus,VisionOne,4,"['DDI_Valid_Cus', 'slog_trace', 'slog_ubtaudit', 'NI_customer_base']",2,"['MAK_Account_GUID', 'ddi_product_feedback']"
Func_CLP_Account_UBT_App_Usage_Pre_20200901,VisionOne,4,"['slog_ubtaudit', 'Func_CLP_Account_UBT_Channel', 'SANDBOX_ANALYSIS_ACTIVE_CLP_FUNC', 'CLP_WHO_INUSE_ZTRI']",4,"['xdr_pendo_feature_events', 'CLP_Account_License_Daily', 'xdr_pendo_events_flattened', 'CLP_Account_License']"
