function,table_child
etl_get_tmms_weekly_report_metrics,connext_seats
etl_get_tmms_weekly_report_metrics,tm_account
CLP_WHO_VISIT_ZTRI_DAILY_withuser,xdr_pendo_events_flattened
V1_Current_Onboard_Customer_Console_Usage,CLP_Account_UBT_Daily
Func_CLP_Account_License,C1_Account_Mapping
Func_CLP_Account_License,SCH_Partner_Account
Func_CLP_Account_License,CLP_Account_License_Daily
Func_CLP_Account_License,CLP_Account_License
Func_CLP_Account_License,CDE_Product_Hierarchy
Func_CLP_Account_License,ARL_Customer_Annual_Value
Tree_View_Security_Playbooks,trilogy3_wae_playbook
Tree_View_Security_Playbooks,xdr_pendo_raw_events
Tree_View_Security_Playbooks,trilogy3_wae_triggered_task
Func_V1_OpenApi_Ubt,slog_ubt_openapi
NIPS_Drill_Down_Table,CLP_Account_UBT
NIPS_Drill_Down_Table,V1_user_account
NIPS_Drill_Down_Table,CLP_Account_UBT_Daily
NIPS_Drill_Down_Table,CLP_Account_License
NIPS_Drill_Down_Table,xdr_pendo_events_flattened
NIPS_Drill_Down_Table,DvassEndpointNotification
NI_in_use_clp,CLP_Account_UBT_Daily
Func_C1_Deployed_Ins_new,C1_Account_License
Func_C1_Deployed_Ins_new,C1_Account_Usage_Daily
ZTSA_ZTNA_Basic_Get_License,CLP_Account_License
ZTSA_ZTNA_Basic_Get_IAM,sase_tdl
Func_C1_Customer_Ins_new,C1_Account_License
Func_C1_Customer_Ins_new,C1_Account_Usage_Daily
ZTSA_ZTNA_Basic_Get_SSO,Poseidon_Idp_Federation_snapshot
ZTSA_ZTNA_Basic_Get_SSO,V1_user_account
ZTSA_ZTNA_Basic_Get_SSO,CLP_Account_License
Tree_View_Network_Intrusion_Prevention_App,V1_user_account
Tree_View_Network_Intrusion_Prevention_App,Fact_Sold_Output_Data
Tree_View_Network_Intrusion_Prevention_App,Dim_Product
Tree_View_Network_Intrusion_Prevention_App,CLP_Account_UBT_Daily
Tree_View_Network_Intrusion_Prevention_App,CLP_Account_License
Tree_View_Network_Intrusion_Prevention_App,xdr_pendo_events_flattened
Tree_View_Network_Intrusion_Prevention_App,DvassEndpointNotification
Tree_View_Network_Inventory_App,CLP_Account_UBT_Daily
Tree_View_Network_Inventory_App,xdr_pendo_events_flattened
Func_Forensics_And_Analysis_Use,V1_user_account
Func_Forensics_And_Analysis_Use,CLP_Account_License
Func_Forensics_And_Analysis_Use,xdr_pendo_events_flattened
CE2_Get_TI_Score,CLP_Account_UBT_Daily
CE2_Get_TI_Score,xdr_pendo_events_flattened
Func_V1_UBT_Customer_for_Tableau,CLP_Account_UBT_Daily
Func_V1_UBT_Customer_for_Tableau,CLP_Account_License_Daily
Func_V1_UBT_Customer_for_Tableau,CLP_Account_License
Func_V1_UBT_Customer_for_Tableau,V1_Engagement_Score_v2
ZTSA_Credit_CLP_Info_Daily,CLP_Account_License
NI_customer_flatten_data,CLP_Account_UBT_Daily
NI_customer_flatten_data,MAK_Account_License
NI_customer_flatten_data,CLP_Account_License
NI_customer_ddi_deployed_type,ddi_product_feedback
V1_Trial_Customer_Performance_Metrics,CLP_Account_UBT_Daily
V1_Trial_Customer_Performance_Metrics,CLP_Account_License_Daily
V1_Trial_Customer_Performance_Metrics,CLP_Account_License
V1_Trial_Customer_Performance_Metrics,xdr_pendo_events_flattened
V1_Trial_Customer_Performance_Metrics,_slog_ubtaudit
V1_Trial_Customer_Performance_Metrics,slog_category
CES2_Sensor_Deployment,trilogyDataAPI
CES2_Sensor_Deployment,CLP_Account_Risk_Insights_UBT_Daily
CES2_Sensor_Deployment,CLP_Account_UBT_Daily
PARSE_V1_UI_RAW_DATA,xdr_pendo_raw_events
Func_V1_Product_Connect_Status_for_Tableau,CLP_Account_UBT_Daily
Func_V1_Product_Connect_Status_for_Tableau,CLP_Account_License
DVASS_Get_CLP_DataSource,DvassEndpointNotification
Tree_View_Report_Management_App,xdr_pendo_raw_events
onelink_get_new_blog_page_product_table,telemetry_collector
vw_C1_Account_Usage_by_Level,C1_Account_Usage_Raw
vw_C1_Entitlement,azure_subscribers_legacy_dump20211029
vw_C1_Entitlement,C1_entitlement_dump20210728
vw_C1_Entitlement,c1_entitlement
Func_C1_Customer_Ins,C1_Account_License
Func_C1_Customer_Ins,C1_Account_Usage_Daily
Func_C1_Customer_Usage,C1_Account_License
Func_C1_Deployed_Ins,C1_Account_License
Func_C1_Deployed_Ins,C1_Account_Usage_Daily
Vision_One_Account_Summary_HUB_15_New,CLP_Account_UBT
Vision_One_Account_Summary_HUB_15_New,CLP_Account_CES_Daily
Vision_One_Account_Summary_HUB_15_New,CLP_Account_License
Func_CLP_Account_License_New,C1_Account_Mapping
Func_CLP_Account_License_New,SCH_Partner_Account
Func_CLP_Account_License_New,CLP_Account_License_Daily_New
Func_CLP_Account_License_New,CDE_Product_Hierarchy
Func_CLP_Account_License_New,ARL_Customer_Annual_Value
Func_CLP_Account_License_New,CLP_Account_License_New
Upcoming_Renewal,ARL_NABU_Opportunity
Upcoming_Renewal,SCH_Sales_Rep
Upcoming_Renewal,ARL_NABU_Opportunity_Header
Func_C1_Account_Mapping,CDE_Data_Source
Func_C1_Account_Mapping,DS_Feedback_Main
Func_C1_Account_Mapping,C1_Account_Mapping
Func_C1_Account_Mapping,C1_entitlement_dump20210728
Func_C1_Account_Mapping,REV_Sales_Inv_Lines_AWSM
Func_C1_Account_Mapping,DS_AWSM_Country_BU_Mapping
Func_C1_Account_Mapping,awsm_daily_usage
Func_C1_Account_Mapping,C1_Usage
Func_C1_Account_Mapping,C1_SFDC_Account_Mapping
Func_C1_Account_Mapping,CUS_Account_Key_Map
Func_C1_Account_Mapping,c1_missing_country_dump20210930
Func_C1_Account_Mapping,CUS_Account_Profile
Func_C1_Account_Mapping,c1_testing_account_dump20210812
Func_C1_Account_Mapping,c1_subscription_lifecycle
Func_C1_Account_Mapping,AWSM_Account_Feed_ADX
Func_C1_Account_Mapping,c1_pendo_track_events
Func_C1_Account_Mapping,c1_account_lifecycle
Func_C1_Account_Mapping,MAP_FIN_Region_BU
Func_C1_Account_Mapping,dataLakeAPI
Func_C1_Account_Mapping,c1_entitlement
Func_C1_Account_Mapping,CUS_Registered_Account_Profile
